000998-pred,000998-true
-0.2802472,0.5594
-0.31843588,-0.111
-0.3059207,-0.1167
-0.32182038,-0.188
-0.28871635,-0.2416
-0.2782706,-0.3605
-0.278144,-0.2559
-0.30943167,0.255
-0.28583774,-0.2001
-0.28128812,-0.2033
-0.2811672,-0.3226
-0.29420257,0.7701
-0.27132335,-0.1468
-0.2896502,-0.3378
-0.29603332,-0.0684
-0.30738685,-0.1544
-0.3095646,0.1601
-0.3046423,0.7614
-0.30861044,0.0357
-0.2728418,0.1728
-0.2691123,0.8206
-0.30043352,0.8697
-0.29918188,0.0028
-0.31269833,0.3124
-0.30603877,0.2784
-0.30497873,0.0746
-0.30553845,-0.092
-0.28292286,0.0449
-0.31289968,-0.0923
-0.28351346,1.8458
-0.28362054,2.4259
-0.266378,0.4217
-0.27164674,0.0972
-0.31250143,-0.0311
-0.309404,-0.1271
-0.31379402,0.4032
-0.30987555,0.2055
-0.3118049,0.29
-0.28807354,0.6816
-0.28560847,0.0497
-0.30171853,1.0793
-0.3533611,0.1614
-0.30088064,0.1347
-0.31920415,0.6158
-0.29678464,0.2472
-0.29176432,-0.1263
-0.29318553,0.4502
-0.27654904,-0.1806
-0.31412914,-0.5468
-0.27993536,-0.4572
-0.3007585,-0.3623
-0.29344127,-0.322
-0.29729825,-0.3719
-0.31495413,-0.4798
-0.31349963,-0.1693
-0.2967548,-0.0365
-0.29656762,0.008
-0.29446495,-0.3186
-0.30293095,-0.1683
-0.28896332,-0.1828
-0.30220136,0.0339
-0.14601818,3.5695
-0.122523606,2.3679
-0.17849755,1.7936
-0.23826909,3.8495
-0.1750671,1.2204
-0.15859306,0.505
-0.16781063,0.8431
-0.1769658,0.4249
-0.089058965,0.4657
-0.080367506,0.4569
-0.139218,0.2563
-0.13312629,0.9324
-0.1428328,0.259
-0.14915946,0.0181
-0.051721692,0.1483
-0.0977032,0.2065
-0.15794402,0.7929
-0.12323344,0.5803
-0.17152636,1.4141
-0.067331165,2.4504
0.14171064,2.3301
-0.09543052,4.0146
-0.13898304,3.9365
-0.10470748,1.4366
-0.07668397,0.3049
-0.12083244,0.2392
0.11940923,0.8157
0.14348444,0.604
-0.041418374,1.0936
0.3603897,2.151
0.27129763,0.5221
0.016782105,2.6191
0.20177865,1.3872
0.3598851,0.7653
0.36110687,0.5106
