000753-pred,000753-true
-0.3567186,-0.1689
-0.32470295,0.359
-0.32772145,-0.2909
-0.33214378,-0.3174
-0.3062493,-0.0143
-0.31576356,3.5668
-0.39377993,1.0557
-0.35034695,0.2628
-0.30829844,0.5175
-0.33004165,0.1563
-0.2986937,-0.3134
-0.33608893,-0.0558
-0.31137678,-0.1712
-0.33224475,0.1387
-0.3248039,0.2142
-0.3152292,0.1997
-0.33881867,-0.4476
-0.3115356,-0.4091
-0.31860498,-0.5564
-0.3468436,-0.5307
-0.3453272,-0.494
-0.3669708,-0.2716
-0.30606747,-0.3812
-0.339332,-0.4645
-0.34005743,0.8747
-0.33109093,0.115
-0.4124116,-0.2024
-0.36422735,0.0223
-0.35530502,-0.399
-0.31989247,0.339
-0.3047071,-0.1022
-0.30943522,-0.4931
-0.29102176,-0.4563
-0.34887376,-0.5759
-0.33101124,-0.3399
-0.31116372,-0.2876
-0.31683433,0.7042
-0.31446987,-0.2243
-0.28994432,-0.2404
-0.32104483,-0.3256
-0.33016378,-0.1454
-0.32760665,5.6659
-0.3992246,0.5227
-0.36878473,-0.0629
-0.44347966,0.0974
-0.32050353,-0.3835
-0.4111207,0.8068
-0.4196952,-0.2651
-0.34618318,-0.0314
-0.38122714,-0.3568
-0.36511183,-0.3826
-0.31443363,-0.342
-0.36212057,-0.5083
-0.37357214,-0.3028
-0.3466772,-0.385
-0.3507473,-0.1642
-0.345604,-0.186
-0.33842504,-0.3514
-0.33863485,-0.5853
-0.3648749,0.3127
-0.33222222,-0.3514
-0.36604124,-0.3279
-0.3364122,-0.1611
-0.43345714,-0.4208
-0.38690582,-0.2372
-0.3108228,-0.1604
-0.3117415,0.4995
-0.2864774,-0.0267
-0.2977526,-0.1201
-0.2917727,-0.2221
-0.32605338,0.1214
-0.33388546,-0.262
-0.39269006,-0.0722
-0.3905385,-0.601
-0.35563457,-0.5065
-0.30830795,-0.4495
-0.32322055,0.1305
-0.33349708,-0.2972
-0.315263,0.3259
-0.31242523,-0.5121
-0.33126912,0.2095
-0.31173486,0.3528
-0.37546682,-0.1602
-0.39487404,0.1139
-0.37186357,-0.2077
-0.34735557,1.2568
-0.35022873,0.2065
-0.34376922,-0.3826
-0.32201016,-0.4562
-0.3273766,-0.2693
-0.3125991,-0.4255
-0.34856376,-0.5362
-0.35666203,-0.4584
-0.3419245,-0.3986
-0.3309062,-0.1614
-0.32788986,-0.1384
-0.3318068,-0.4584
-0.30187306,-0.5151
-0.3224958,-0.2353
-0.33393314,-0.1862
-0.31912872,-0.5142
-0.30236512,-0.4063
-0.31055915,-0.2078
-0.337529,-0.5173
-0.335191,-0.3007
-0.43856823,0.0509
-0.410993,0.1802
-0.34964472,-0.6585
-0.32433468,-0.4091
-0.331897,-0.3662
-0.3419717,-0.5487
-0.33876994,-0.5499
-0.36052996,-0.6339
-0.3935518,-0.6716
-0.42312992,-0.6139
-0.44478622,-0.5072
-0.35546935,-0.1832
-0.3751142,-0.3988
-0.3247275,-0.513
-0.3142979,-0.6313
-0.3161276,-0.6193
-0.31643346,-0.5977
-0.33716604,-0.6324
-0.31026873,-0.2569
-0.33053756,0.2318
-0.374035,-0.419
-0.36364675,-0.217
-0.67409223,0.9959
-0.7206471,1.0245
-0.32953098,0.4005
-0.33672324,-0.3308
-0.34528276,-0.3221
-0.35485992,-0.5914
-0.4391961,-0.5189
-0.39230096,-0.5944
-0.42555994,-0.068
-0.40672886,-0.3934
-0.33871135,-0.4462
-0.3222373,-0.5049
-0.33191046,-0.1123
-0.3155241,0.9664
-0.32479256,-0.2848
-0.36563036,-0.5349
-0.33635706,-0.3615
-0.4897956,-0.2729
-0.36899522,0.5159
-0.46140504,0.6018
-1.0190752,-0.1058
-0.57687104,0.2901
-0.4406299,0.3442
-0.34794956,2.3791
-0.38725454,0.7955
-0.34716696,-0.3725
-0.44701397,-0.2266
-0.47766498,-0.2932
-0.50506043,0.3425
-0.4883206,0.0317
-0.4014751,-0.1534
-0.43163466,-0.3706
-0.39481175,-0.4098
-0.40736562,0.7623
-0.4133314,-0.1776
-0.31800205,0.6162
-0.6186299,-0.4281
-0.449116,-0.2207
-0.39170766,-0.0973
-0.36991805,0.2731
-0.7498095,-0.091
-0.57907283,-0.2913
-0.39423478,-0.0155
-0.42139605,0.1136
-0.3913431,-0.0609
